path,size,mtime,ftype,sha256,md5
sample_report.pdf,2515221,,application/pdf,3206ea0adcdc0703e81c2a2e8880340e6617679057d1100605d8de40ec3a5e65,3b39e24bccf0fdd7b3dcbd5737325934
npcap-1.83.exe,1250856,,application/x-dosexec,9ac6866c53518dfc7e0c6bc51b8bd9f01cc882a163c285e5f44bb50bb5a164ea,62238570aab42f5f3ce622bc8186c972
